StudentID,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,PerformanceScore,DropoutRisk
S00057,25,78,2,1,1,1,1,18,2,17,0,91,58,1,2,2,73.9,Low Risk
S00058,25,78,0,1,1,1,1,18,2,17,0,91,58,1,2,2,73.9,Low Risk
S00059,17,94,2,0,2,1,1,19,3,3,1,74,92,0,2,0,87.2,Low Risk
S00060,17,94,1,0,0,1,1,19,3,3,1,74,92,0,2,0,87.2,Low Risk
S00061,17,94,1,0,1,1,1,19,3,3,1,74,92,0,2,0,87.2,Low Risk
S00062,17,94,1,1,1,1,1,19,3,3,1,74,92,0,2,0,87.2,Low Risk
S00063,17,94,0,0,2,1,1,19,3,3,1,74,92,0,2,0,87.2,Low Risk
S00064,17,94,0,1,0,1,1,19,3,3,1,74,92,0,2,0,87.2,Low Risk
S00065,17,94,2,1,1,1,1,19,3,3,1,74,92,0,2,0,87.2,Low Risk
S00066,23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2,72.1,Low Risk
S00067,23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0,96.6,Low Risk
S00068,23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2,72.1,Low Risk
S00069,23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0,96.6,Low Risk
S00070,23,98,0,0,1,1,1,27,2,5,0,65,58,0,2,2,72.1,Low Risk
S00071,23,98,0,0,1,1,1,27,1,4,1,100,93,0,2,0,96.6,Low Risk
S00072,23,98,2,0,1,1,1,27,2,5,0,65,58,0,2,2,72.1,Low Risk
S00073,23,98,2,0,1,1,1,27,1,4,1,100,93,0,2,0,96.6,Low Risk
S00074,23,98,2,1,0,1,1,27,2,5,0,65,58,0,2,2,72.1,Low Risk
S00075,23,98,2,1,0,1,1,27,1,4,1,100,93,0,2,0,96.6,Low Risk
S00076,17,80,2,0,1,0,1,18,1,13,1,68,73,0,2,1,73.6,Low Risk
S00077,17,80,2,0,1,0,1,24,3,11,1,64,69,1,0,2,70.8,Low Risk
S00078,17,80,2,0,1,0,1,23,0,7,1,68,87,1,1,0,79.2,Low Risk
S00079,17,80,2,0,1,0,1,27,0,12,0,64,88,1,0,0,78.4,Low Risk
S00080,17,80,2,0,1,0,1,29,1,0,1,73,78,1,0,1,77.1,Low Risk
S00081,17,80,1,0,1,1,1,18,1,13,1,68,73,0,2,1,73.6,Low Risk
S00082,17,80,1,0,1,1,1,24,3,11,1,64,69,1,0,2,70.8,Low Risk
S00083,17,80,1,0,1,1,1,23,0,7,1,68,87,1,1,0,79.2,Low Risk
S00084,17,80,1,0,1,1,1,27,0,12,0,64,88,1,0,0,78.4,Low Risk
S00085,17,80,1,0,1,1,1,29,1,0,1,73,78,1,0,1,77.1,Low Risk
S00086,17,80,2,0,1,1,1,18,1,13,1,68,73,0,2,1,73.6,Low Risk
S00087,17,80,2,0,1,1,1,24,3,11,1,64,69,1,0,2,70.8,Low Risk
S00088,17,80,2,0,1,1,1,23,0,7,1,68,87,1,1,0,79.2,Low Risk
S00089,17,80,2,0,1,1,1,27,0,12,0,64,88,1,0,0,78.4,Low Risk
S00090,17,80,2,0,1,1,1,29,1,0,1,73,78,1,0,1,77.1,Low Risk
S00091,17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00092,17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00093,17,97,1,0,1,1,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00094,17,97,1,0,1,1,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00095,17,97,2,0,2,1,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00096,17,97,2,0,2,1,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00097,17,97,2,1,1,0,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00098,17,97,2,1,1,0,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00099,17,97,2,0,1,1,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00100,17,97,2,0,1,1,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00101,17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00102,17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00103,17,97,0,1,1,1,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00104,17,97,0,1,1,1,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00105,17,97,1,1,1,1,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00106,17,97,1,1,1,1,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00107,17,97,0,0,2,0,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00108,17,97,0,0,2,0,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00109,17,97,1,1,0,1,1,27,1,9,0,64,87,1,1,0,83.1,Low Risk
S00110,17,97,1,1,0,1,1,25,2,20,1,70,82,1,1,1,82.9,Low Risk
S00111,21,83,1,1,0,1,1,27,2,1,0,66,86,0,1,0,79.1,Low Risk
S00112,21,83,1,1,0,1,1,27,0,7,1,77,96,1,1,0,86.4,Low Risk
S00113,21,83,1,1,0,1,1,27,2,1,0,66,86,0,1,0,79.1,Low Risk
S00114,21,83,1,1,0,1,1,27,0,7,1,77,96,1,1,0,86.4,Low Risk
S00115,21,83,1,1,2,1,1,27,2,1,0,66,86,0,1,0,79.1,Low Risk
S00116,21,83,1,1,2,1,1,27,0,7,1,77,96,1,1,0,86.4,Low Risk
S00117,21,83,0,0,0,1,1,27,2,1,0,66,86,0,1,0,79.1,Low Risk
S00118,21,83,0,0,0,1,1,27,0,7,1,77,96,1,1,0,86.4,Low Risk
S00119,21,83,0,1,0,1,1,27,2,1,0,66,86,0,1,0,79.1,Low Risk
S00120,21,83,0,1,0,1,1,27,0,7,1,77,96,1,1,0,86.4,Low Risk
S00121,21,83,2,1,2,1,1,27,2,1,0,66,86,0,1,0,79.1,Low Risk
S00122,21,83,2,1,2,1,1,27,0,7,1,77,96,1,1,0,86.4,Low Risk
S00123,21,83,2,0,1,1,1,27,2,1,0,66,86,0,1,0,79.1,Low Risk
S00124,21,83,2,0,1,1,1,27,0,7,1,77,96,1,1,0,86.4,Low Risk
S00125,9,82,1,1,1,1,1,18,3,17,0,55,40,1,2,3,57.099999999999994,Medium Risk
S00126,9,82,1,1,1,1,1,25,3,13,0,73,46,1,2,3,64.89999999999999,Medium Risk
S00127,10,78,2,1,1,1,1,27,2,5,0,71,68,1,2,2,71.9,Low Risk
S00128,10,78,2,1,1,1,1,20,3,17,0,85,78,1,2,1,80.1,Low Risk
S00129,17,68,1,0,1,1,0,19,3,0,1,75,42,1,1,3,59.699999999999996,Medium Risk
S00130,17,68,1,0,1,1,0,24,2,4,1,87,64,1,2,2,72.1,Medium Risk
S00131,17,68,1,0,1,1,0,20,3,19,1,88,49,1,1,3,66.4,Medium Risk
S00132,17,68,1,1,1,1,0,19,3,0,1,75,42,1,1,3,59.699999999999996,Medium Risk
S00133,17,68,1,1,1,1,0,24,2,4,1,87,64,1,2,2,72.1,Medium Risk
S00134,17,68,1,1,1,1,0,20,3,19,1,88,49,1,1,3,66.4,Medium Risk
S00135,17,68,1,0,2,1,0,19,3,0,1,75,42,1,1,3,59.699999999999996,Medium Risk
S00136,17,68,1,0,2,1,0,24,2,4,1,87,64,1,2,2,72.1,Medium Risk
S00137,17,68,1,0,2,1,0,20,3,19,1,88,49,1,1,3,66.4,Medium Risk
S00138,17,68,2,1,1,1,0,19,3,0,1,75,42,1,1,3,59.699999999999996,Medium Risk
S00139,17,68,2,1,1,1,0,24,2,4,1,87,64,1,2,2,72.1,Medium Risk
S00140,17,68,2,1,1,1,0,20,3,19,1,88,49,1,1,3,66.4,Medium Risk
S00141,17,68,0,1,2,1,0,19,3,0,1,75,42,1,1,3,59.699999999999996,Medium Risk
S00142,17,68,0,1,2,1,0,24,2,4,1,87,64,1,2,2,72.1,Medium Risk
S00143,17,68,0,1,2,1,0,20,3,19,1,88,49,1,1,3,66.4,Medium Risk
S00144,22,70,1,1,1,1,0,22,3,1,1,74,40,1,2,3,59.2,Medium Risk
S00145,22,70,1,0,0,1,0,22,3,1,1,74,40,1,2,3,59.2,Medium Risk
S00146,22,70,2,1,2,1,0,22,3,1,1,74,40,1,2,3,59.2,Medium Risk
S00147,22,70,1,1,0,1,0,22,3,1,1,74,40,1,2,3,59.2,Medium Risk
S00148,22,70,2,1,1,1,0,22,3,1,1,74,40,1,2,3,59.2,Medium Risk
S00149,15,80,1,1,0,1,0,23,2,2,0,50,56,0,1,2,61.400000000000006,Low Risk
S00150,15,80,1,1,0,1,0,21,2,7,1,87,89,1,0,0,85.7,Low Risk
S00151,15,80,1,1,0,1,0,23,1,13,1,56,75,1,2,1,70.8,Low Risk
S00152,15,80,2,0,1,1,0,23,2,2,0,50,56,0,1,2,61.400000000000006,Low Risk
S00153,15,80,2,0,1,1,0,21,2,7,1,87,89,1,0,0,85.7,Low Risk
S00154,15,80,2,0,1,1,0,23,1,13,1,56,75,1,2,1,70.8,Low Risk
S00155,15,80,0,0,2,1,0,23,2,2,0,50,56,0,1,2,61.400000000000006,Low Risk
S00156,15,80,0,0,2,1,0,21,2,7,1,87,89,1,0,0,85.7,Low Risk
S00157,15,80,0,0,2,1,0,23,1,13,1,56,75,1,2,1,70.8,Low Risk
S00158,15,80,1,0,1,1,0,23,2,2,0,50,56,0,1,2,61.400000000000006,Low Risk
S00159,15,80,1,0,1,1,0,21,2,7,1,87,89,1,0,0,85.7,Low Risk
S00160,15,80,1,0,1,1,0,23,1,13,1,56,75,1,2,1,70.8,Low Risk
S00161,15,80,1,1,1,1,0,23,2,2,0,50,56,0,1,2,61.400000000000006,Low Risk
S00162,15,80,1,1,1,1,0,21,2,7,1,87,89,1,0,0,85.7,Low Risk
S00163,15,80,1,1,1,1,0,23,1,13,1,56,75,1,2,1,70.8,Low Risk
S00164,15,80,1,0,1,1,0,23,2,2,0,50,56,0,1,2,61.400000000000006,Low Risk
S00165,15,80,1,0,1,1,0,21,2,7,1,87,89,1,0,0,85.7,Low Risk
S00166,15,80,1,0,1,1,0,23,1,13,1,56,75,1,2,1,70.8,Low Risk
S00167,12,75,2,1,1,1,1,21,0,16,1,66,71,1,2,1,70.7,Low Risk
S00168,12,75,2,1,1,1,1,22,2,20,1,55,48,1,1,3,58.2,Medium Risk
S00169,12,75,2,1,1,1,1,21,0,16,1,66,71,1,2,1,70.7,Low Risk
S00170,12,75,2,1,1,1,1,22,2,20,1,55,48,1,1,3,58.2,Medium Risk
S00171,29,78,1,0,2,1,0,28,0,2,1,67,91,1,2,0,79.9,Low Risk
S00172,29,78,2,1,1,1,0,28,0,2,1,67,91,1,2,0,79.9,Low Risk
S00173,19,99,2,0,1,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00174,19,99,1,0,1,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00175,19,99,2,0,0,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00176,19,99,2,1,0,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00177,19,99,0,0,1,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00178,19,99,1,1,0,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00179,19,99,1,1,1,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00180,19,99,1,0,1,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00181,19,99,0,0,2,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00182,19,99,2,1,1,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00183,19,99,2,0,0,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00184,19,99,1,0,1,1,1,25,3,13,1,91,56,1,0,2,79.4,Low Risk
S00185,20,74,2,0,0,1,0,22,3,3,1,93,97,1,2,0,88.9,Medium Risk
S00186,20,74,2,0,0,1,0,24,1,20,1,68,67,0,1,2,69.4,Medium Risk
S00187,20,74,2,0,0,1,0,29,0,13,0,80,65,0,0,2,72.2,Medium Risk
S00188,20,74,1,1,0,1,0,22,3,3,1,93,97,1,2,0,88.9,Medium Risk
S00189,20,74,1,1,0,1,0,24,1,20,1,68,67,0,1,2,69.4,Medium Risk
S00190,20,74,1,1,0,1,0,29,0,13,0,80,65,0,0,2,72.2,Medium Risk
S00191,20,74,2,1,1,0,0,22,3,3,1,93,97,1,2,0,88.9,Medium Risk
S00192,20,74,2,1,1,0,0,24,1,20,1,68,67,0,1,2,69.4,Medium Risk
S00193,20,74,2,1,1,0,0,29,0,13,0,80,65,0,0,2,72.2,Medium Risk
S00194,20,74,1,1,2,1,0,22,3,3,1,93,97,1,2,0,88.9,Medium Risk
S00195,20,74,1,1,2,1,0,24,1,20,1,68,67,0,1,2,69.4,Medium Risk
S00196,20,74,1,1,2,1,0,29,0,13,0,80,65,0,0,2,72.2,Medium Risk
S00197,20,74,0,1,2,1,0,22,3,3,1,93,97,1,2,0,88.9,Medium Risk
S00198,20,74,0,1,2,1,0,24,1,20,1,68,67,0,1,2,69.4,Medium Risk
S00199,20,74,0,1,2,1,0,29,0,13,0,80,65,0,0,2,72.2,Medium Risk
S00200,11,78,1,1,2,1,1,25,2,4,1,59,77,0,1,1,71.9,Low Risk
S00201,11,78,1,1,2,1,1,27,0,15,0,69,77,1,2,1,74.9,Low Risk
S00202,11,78,1,1,2,1,1,18,0,13,0,62,90,1,2,0,78.0,Low Risk
S00203,11,78,1,1,2,1,1,19,2,3,1,80,98,1,2,0,86.6,Low Risk
S00204,11,78,1,1,2,1,1,21,3,8,1,96,83,1,1,1,85.4,Low Risk
S00205,11,78,2,1,1,1,1,25,2,4,1,59,77,0,1,1,71.9,Low Risk
S00206,11,78,2,1,1,1,1,27,0,15,0,69,77,1,2,1,74.9,Low Risk
S00207,11,78,2,1,1,1,1,18,0,13,0,62,90,1,2,0,78.0,Low Risk
S00208,11,78,2,1,1,1,1,19,2,3,1,80,98,1,2,0,86.6,Low Risk
S00209,11,78,2,1,1,1,1,21,3,8,1,96,83,1,1,1,85.4,Low Risk
S00210,17,65,2,1,1,1,0,28,2,12,0,88,72,0,0,1,74.7,Medium Risk
S00211,17,65,2,1,1,1,0,21,1,16,0,79,58,1,2,2,66.4,Medium Risk
S00212,17,65,2,1,1,1,0,28,2,12,0,88,72,0,0,1,74.7,Medium Risk
S00213,17,65,2,1,1,1,0,21,1,16,0,79,58,1,2,2,66.4,Medium Risk
S00214,17,65,0,1,1,1,0,28,2,12,0,88,72,0,0,1,74.7,Medium Risk
S00215,17,65,0,1,1,1,0,21,1,16,0,79,58,1,2,2,66.4,Medium Risk
S00216,17,65,1,0,1,1,0,28,2,12,0,88,72,0,0,1,74.7,Medium Risk
S00217,17,65,1,0,1,1,0,21,1,16,0,79,58,1,2,2,66.4,Medium Risk
S00218,17,65,1,0,1,1,0,28,2,12,0,88,72,0,0,1,74.7,Medium Risk
S00219,17,65,1,0,1,1,0,21,1,16,0,79,58,1,2,2,66.4,Medium Risk
S00220,21,62,0,1,2,1,1,26,2,9,1,65,46,0,2,3,56.5,Medium Risk
S00221,21,62,0,0,2,1,1,26,2,9,1,65,46,0,2,3,56.5,Medium Risk
S00222,21,62,1,0,1,1,1,26,2,9,1,65,46,0,2,3,56.5,Medium Risk
S00223,13,91,1,0,1,1,0,19,0,7,1,64,63,0,1,2,71.7,Low Risk
S00224,13,91,1,0,1,1,0,25,3,12,0,73,77,0,2,1,80.0,Low Risk
S00225,13,91,1,0,1,1,0,21,0,13,1,98,100,0,2,0,96.7,Low Risk
S00226,13,91,1,0,1,1,0,29,1,3,1,66,90,1,2,0,83.1,Low Risk
S00227,13,91,1,0,1,1,0,28,1,11,1,85,46,1,2,3,71.2,Medium Risk
S00228,13,91,1,0,1,1,0,19,2,18,0,89,61,0,2,2,78.4,Low Risk
S00229,13,91,1,1,1,1,0,19,0,7,1,64,63,0,1,2,71.7,Low Risk
S00230,13,91,1,1,1,1,0,25,3,12,0,73,77,0,2,1,80.0,Low Risk
S00231,13,91,1,1,1,1,0,21,0,13,1,98,100,0,2,0,96.7,Low Risk
S00232,13,91,1,1,1,1,0,29,1,3,1,66,90,1,2,0,83.1,Low Risk
S00233,13,91,1,1,1,1,0,28,1,11,1,85,46,1,2,3,71.2,Medium Risk
S00234,13,91,1,1,1,1,0,19,2,18,0,89,61,0,2,2,78.4,Low Risk
S00235,22,83,2,1,1,1,1,28,2,11,0,96,75,1,2,1,83.69999999999999,Low Risk
S00236,22,83,1,1,2,1,1,28,2,11,0,96,75,1,2,1,83.69999999999999,Low Risk
S00237,22,83,1,1,2,0,1,28,2,11,0,96,75,1,2,1,83.69999999999999,Low Risk
S00238,22,83,1,1,2,1,1,28,2,11,0,96,75,1,2,1,83.69999999999999,Low Risk
S00239,22,83,0,1,1,1,1,28,2,11,0,96,75,1,2,1,83.69999999999999,Low Risk
S00240,16,90,1,0,1,1,0,19,1,0,1,90,52,0,2,3,74.8,Low Risk
S00241,16,90,1,0,2,0,0,19,1,0,1,90,52,0,2,3,74.8,Low Risk
S00242,16,90,2,1,1,1,0,19,1,0,1,90,52,0,2,3,74.8,Low Risk
S00243,16,90,1,0,1,1,0,19,1,0,1,90,52,0,2,3,74.8,Low Risk
S00244,16,90,2,1,2,1,0,19,1,0,1,90,52,0,2,3,74.8,Low Risk
S00245,18,66,2,0,0,1,1,22,1,3,0,50,73,1,1,1,64.0,Medium Risk
S00246,18,66,2,0,0,1,1,27,2,11,0,57,60,1,0,2,60.89999999999999,Medium Risk
S00247,18,66,1,0,1,1,1,22,1,3,0,50,73,1,1,1,64.0,Medium Risk
S00248,18,66,1,0,1,1,1,27,2,11,0,57,60,1,0,2,60.89999999999999,Medium Risk
S00249,18,66,2,0,1,1,1,22,1,3,0,50,73,1,1,1,64.0,Medium Risk
S00250,18,66,2,0,1,1,1,27,2,11,0,57,60,1,0,2,60.89999999999999,Medium Risk
S00251,18,66,2,1,1,1,1,22,1,3,0,50,73,1,1,1,64.0,Medium Risk
S00252,18,66,2,1,1,1,1,27,2,11,0,57,60,1,0,2,60.89999999999999,Medium Risk
S00253,18,66,1,1,0,0,1,22,1,3,0,50,73,1,1,1,64.0,Medium Risk
S00254,18,66,1,1,0,0,1,27,2,11,0,57,60,1,0,2,60.89999999999999,Medium Risk
S00255,18,66,2,1,1,0,1,22,1,3,0,50,73,1,1,1,64.0,Medium Risk
S00256,18,66,2,1,1,0,1,27,2,11,0,57,60,1,0,2,60.89999999999999,Medium Risk
S00257,18,66,1,1,2,1,1,22,1,3,0,50,73,1,1,1,64.0,Medium Risk
S00258,18,66,1,1,2,1,1,27,2,11,0,57,60,1,0,2,60.89999999999999,Medium Risk
S00259,18,66,1,1,1,1,1,22,1,3,0,50,73,1,1,1,64.0,Medium Risk
S00260,18,66,1,1,1,1,1,27,2,11,0,57,60,1,0,2,60.89999999999999,Medium Risk
S00261,16,83,1,0,1,1,0,27,1,12,1,52,66,0,1,2,66.9,Low Risk
S00262,16,83,1,0,1,1,0,26,1,0,0,96,56,1,0,2,76.1,Low Risk
S00263,16,83,2,1,0,1,0,27,1,12,1,52,66,0,1,2,66.9,Low Risk
S00264,16,83,2,1,0,1,0,26,1,0,0,96,56,1,0,2,76.1,Low Risk
S00265,16,83,1,1,1,1,0,27,1,12,1,52,66,0,1,2,66.9,Low Risk
S00266,16,83,1,1,1,1,0,26,1,0,0,96,56,1,0,2,76.1,Low Risk
S00267,16,83,1,1,1,1,0,27,1,12,1,52,66,0,1,2,66.9,Low Risk
S00268,16,83,1,1,1,1,0,26,1,0,0,96,56,1,0,2,76.1,Low Risk
S00269,16,83,1,1,2,1,0,27,1,12,1,52,66,0,1,2,66.9,Low Risk
S00270,16,83,1,1,2,1,0,26,1,0,0,96,56,1,0,2,76.1,Low Risk
S00271,16,83,1,1,1,1,0,27,1,12,1,52,66,0,1,2,66.9,Low Risk
S00272,16,83,1,1,1,1,0,26,1,0,0,96,56,1,0,2,76.1,Low Risk
S00273,16,83,1,1,0,1,0,27,1,12,1,52,66,0,1,2,66.9,Low Risk
S00274,16,83,1,1,0,1,0,26,1,0,0,96,56,1,0,2,76.1,Low Risk
S00275,16,83,1,0,0,1,0,27,1,12,1,52,66,0,1,2,66.9,Low Risk
S00276,16,83,1,0,0,1,0,26,1,0,0,96,56,1,0,2,76.1,Low Risk
S00277,31,70,2,1,1,1,1,28,2,1,0,52,71,1,2,1,65.0,Medium Risk
S00278,20,69,1,1,1,1,1,21,3,3,1,87,79,1,0,1,78.4,Medium Risk
S00279,20,69,1,1,1,1,1,18,3,9,0,82,97,0,2,0,84.10000000000001,Medium Risk
S00280,20,69,2,1,1,1,1,21,3,3,1,87,79,1,0,1,78.4,Medium Risk
S00281,20,69,2,1,1,1,1,18,3,9,0,82,97,0,2,0,84.10000000000001,Medium Risk
S00282,20,69,2,0,0,1,1,21,3,3,1,87,79,1,0,1,78.4,Medium Risk
S00283,20,69,2,0,0,1,1,18,3,9,0,82,97,0,2,0,84.10000000000001,Medium Risk
S00284,20,69,1,1,2,1,1,21,3,3,1,87,79,1,0,1,78.4,Medium Risk
S00285,20,69,1,1,2,1,1,18,3,9,0,82,97,0,2,0,84.10000000000001,Medium Risk
S00286,14,60,1,0,1,1,0,18,0,6,0,88,52,1,2,3,65.2,Medium Risk
S00287,14,60,0,1,0,1,0,18,0,6,0,88,52,1,2,3,65.2,Medium Risk
S00288,25,65,1,0,1,1,0,25,3,0,1,62,51,0,1,3,58.5,Medium Risk
S00289,25,65,1,0,1,1,0,28,3,12,1,100,55,1,0,2,71.5,Medium Risk
S00290,25,65,2,1,2,1,0,25,3,0,1,62,51,0,1,3,58.5,Medium Risk
S00291,25,65,2,1,2,1,0,28,3,12,1,100,55,1,0,2,71.5,Medium Risk
S00292,25,65,0,1,1,1,0,25,3,0,1,62,51,0,1,3,58.5,Medium Risk
